a	một
sword	thanh kiếm
symbol	biểu tượng, ký hiệu
symbolic	tượng trưng
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
symptom	triệu chứng
syndrome	hội chứng
system	hệ thống, chế độ
t-shirt	Áo thun
table	cái bàn
tablespoon	muỗng canh
tablet	tấm, bản, thẻ phiến
tackle	giải quyết, khắc phục, bàn thảo, đồ dùng, dụng cụ
tactic	chiến thuật
tag	nhãn
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy
take  over	chở, chuyển cái gì, tiếp quản, kế tục cái gì
take advantage of	lợi dụng
take notice of	chú ý
take place	xảy ra, được cử hành, được tổ chức
take sth off	cởi, bỏ cái gì, lấy đi cái gì
tale	câu chuyện
talent	năng lực
talented	có tài
talk	nói chuyện, trò chuyện, cuộc trò chuyện, cuộc thảo luận
tall	cao
tank	thùng, két, bể
tap	mở vòi, đóng vồi, vòi, khóa
tape	băng, băng ghi âm, dải, dây
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	vị, vị giác, nếm
tax	thuế, đánh thuế
taxi	xe tắc xi
taxpayer	người nộp thuế
tea	cây chè, trà, chè
teach	dạy
teacher	giáo viên
teaching	sự dạy, công việc dạy học
team	đội, nhóm
teammate	đồng đội
tear	xé, làm rắch, chỗ rách, miếng xe, nước mắt
teaspoon	muỗng cà phê
technical	kỹ thuật, chuyên môn
technician	kỹ thuật viên
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technological	công nghệ
technology	kỹ thuật học, công nghệ học
teen	thiếu niên
teenage	thiếu niên
teenager	thiếu niên
telephone	máy điện thoại, gọi điện thoại
telescope	kính viễn vọng
television	vô tuyến truyền hình
tell	nói, nói với
temperature	nhiệt độ
temple	ngôi đền
temporarily	tạm
temporary	tạm thời, nhất thời
ten	mười
tend	trông nom, chăm sóc, giữ gìn, hầu hạ
tendency	xu hướng, chiều hướng, khuynh hướng
tender	đấu thầu
tennis	quần vợt
tension	sự căng, độ căng, tình trạng căng
tent	lều, rạp
term	giới hạn, kỳ hạn, khóa, kỳ học
terms	điều kiện
terrain	địa hình
terrible	khủng khiếp, ghê sợ
terribly	tồi tệ, không chịu nổi
terrific	khủng khiếp
territory	lãnh thổ
terror	khủng bố
terrorism	khủng bố
terrorist	khủng bố
test	bài kiểm tra, sự thử nghiệm, xét nghiệm, kiểm tra, xét nghiệm, thử nghiệm
testify	làm chứng
testimony	lời khai
testing	thử nghiệm
text	nguyên văn, bản văn, chủ đề, đề tì
textbook	sách giáo khoa
texture	kết cấu
than	hơn
thank	cám ơn
thank you	cảm ơn bạn
thanks	sự cảm ơn, lời cảm ơn
thanksgiving	lễ tạ ơn
that	người ấy, đó, vật ấy, đó, rằng, là
the	các
the definite article	cái, con, người, ấy này....
the rest	vật, cái còn lại, những người, cái khác
theater	rạp hát
theatre	rạp hát, nhà hát
their	của chúng, của chúng nó, của họ
theirs	của chúng, của chúng nó, của họ
them	chúng, chúng nó, họ
theme	đề tài, chủ đề
themselves	tự chúng, tự họ, tự
then	khi đó, lúc đó, tiếp đó
theological	thần học
theology	thần học
theoretical	lý thuyết
theory	lý thuyết, học thuyết
therapist	nhà trị liệu
therapy	trị liệu
there	ở nơi đó, tại nơi đó
thereby	bằng cách ấy
therefore	bởi vậy, cho nên, vì thế
these	những
they	chúng, chúng nó, họ, những cái ấy
thick	dày, đậm
thickly	dày, dày đặc, thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thief	kẻ trộm, kẻ cắp
thigh	đùi
thin	mỏng, mảnh
thing	cái, đồ, vật
think	nghĩ, suy nghĩ
thinking	sự suy nghĩ, ý nghĩ
third	thứ ba
thirsty	khát, cảm thấy khát
thirty	ba mươi
this	cái này, điều này, việc này
thorough	cẩn thận, kỹ lưỡng
thoroughly	kỹ lưỡng, thấu đáo, triệt để
those	những, cái đó
though	dù, dù cho, mặc dù, mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ, khả năng suy nghĩ, ý nghĩ, tư tưởng, tư duy
thousand	nghìn
thread	chỉ, sợi chỉ, sợi dây
threat	sự đe dọa, lời đe dọa
threaten	dọa, đe dọa
threatening	sự đe dọa, sự hăm dọa
three	số ba
threshold	ngưỡng
thrive	phát đạt
throat	cổ, cổ họng
through	qua, xuyên qua
throughout	khắp, suốt
throw	ném, vứt, quăng
thumb	ngón tay cái
thursday	thứ 5
thus	như vậy, như thế, do đó
ticket	vé
tide	thủy triều
tidy	sạch sẽ, ngăn nắp, gọn gàng, làm cho sạch sẽ, gọn gàng, ngăn nắp
tie	buộc, cột, trói, dây buộc, daay trói, dây giày
tie sth up	có quan hệ mật thiết, gắn chặt
tight	kín, chặt, chật
tighten	thắt chặt
tightly	chặc chẽ, sít sao
tile	ngói
till	cho đến
till until	cho đến khi, tới lúc mà
timber	gỗ
time	thời gian, thì giờ
timetable	kế hoạch làm việc, thời gian biểu
timing	thời gian
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	đầu, mút, đỉnh, chóp, bịt đầu, lắp đầu vào
tire	làm mệt mỏi, trở nên mệt nhọc, lốp, vỏ xe
tired	mệt, muốn ngủ, nhàm chán
tiring	sự mệt mỏi, sự mệt nhọc
tissue	mô
title	đầu đề, tiêu đề, tước vị, tư cách
to	theo hướng, tới
tobacco	thuốc lá
today	vào ngày này, hôm nay, ngày nay
toe	ngón chân
together	cùng nhau, cùng với
toilet	nhà vệ sinh, sự trang điểm
tolerance	lòng khoan dung
tolerate	tha thứ
toll	số điện thoại
tomato	cà chua
tomorrow	vào ngày mai, ngày mai
ton	tấn
tone	tiếng, giọng
tongue	lưỡi
tonight	vào đêm nay, vào tối nay, đêm nay, tối nay
tonne	tấn
too	cũng
tool	dụng cụ, đồ dùng
tooth	răng
top	chóp, đỉnh, đứng đầu, trên hết
topic	đề tài, chủ đề
toss	quăng
total	tổng cộng, toàn bộ, tổng số, toàn bộ số lượng
totally	hoàn toàn
touch	sờ, mó, tiếp xúc, sự sờ, sự mó, sự tiếp xúc
touchdown	đụng
tough	chắc, bền, dai
tour	cuộc đo du lịch, cuộc đi dạo, chuyến du lịch, đi du lịch
tourism	du lịch
tourist	khách du lịch
tournament	giải đấu
toward	đối với
towards	theo hướng, về hướng
towel	khăn tắm, khăn lau
tower	tháp
town	thị trấn, thị xã, thành phố nhỏ
toxic	chất độc
toy	đồ chơi, đồ trang trí, thể loại đồ chơi
trace	phát hiện, tìm thấy, vạch, chỉ ra, phác họa, dấu, vết, một chút
track	phần của đĩa, đường mòn, đường đua
trade	thương mại, buôn bán, buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
tradition	truyền thống
traditional	theo truyền thống, theo lối cổ
traditionally	truyền thống, là truyền thống
traffic	sự đi lại, sự giao thông, sự chuyển động
tragedy	bi kịch
tragic	bi kịch
trail	đường mòn
trailer	trailer
train	xe lửa, tàu hỏa, dạy, rèn luyện, đào tạo
trainer	người huấn luyện
training	sự dạy dỗ, sự huấn luyện, sự đào tạo
trait	đặc điểm
transaction	giao dịch
transfer	dời, di chuyển, sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
transformation	chuyển đổi
transit	quá cảnh
transition	quá trình chuyển đổi
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transmission	truyền tải
transmit	chuyển giao
transparent	trong suốt, dễ hiểu, sáng sủa
transport	chuyên chở, vận tải
transportation	vận chuyển
trap	đồ đạc, hành lý, bẫy, cạm bãy, bẫy, giữ, chặn lại
trash	rác
trauma	chấn thương
travel	đi lại, đi du lịch, di chuyển, sự đi, những chuyến đi
traveler	du khách
traveller	người đi, lữ khách
tray	cái mâm
treasure	kho báu
treat	đối xử, đối đãi, cư xử
treatment	sự đối xử, sự cư xử
treaty	hiệp ước
tree	cây
tremendous	to lớn
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
triangle	hình tam giác
tribal	bộ lạc
tribe	bộ lạc
trick	mưu mẹo, thủ đoạn, trò lừa gatj, lừa, lừa gạt
trigger	cò súng
trim	cắt tỉa
trip	cuộc dạo chơi, cuộc du ngoạn, đi dạo, du ngoạn
triumph	triumph
troop	(pl)  quân (pl)
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
troubled	gặp rắc rối
trousers	quần
truck	rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
trunk	thân cây
trust	niềm tin, sự phó thác, tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
tuck	tuck
tuesday	thứ 3
tumor	khối u
tune	điệu, giai điệu, lên dây, so dây
tunnel	đường hầm, hang
turkey	gà tây
turn	quay, xoay, vặn, sự quay, vòng quay
tv	tv
tv television	vô tuyến truyền hình
twelve	mười hai
twentieth	hai mươi
twenty	hai mươi
twice	hai lần
twin	sinh đôi, tạo thành cặp, cặp song sinh
twist	xoắn, cuộn, quắn, sự xoắn, vòng xoắn
twisted	được xoắn, được cuộn
two	hai
two-thirds	hai phần ba
type	loại, kiểu, mẫu, phân loại, xếp loại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
tyre	lốp, vỏ xe
ugly	xấu xí, xấu xa
uh	uh
ultimate	cuối cùng, sau cùng
ultimately	cuối cùng, sau cùng
umbrella	ô, dù
unable	không có năng lực, không có tài
unable able	không thể, không có khẳ năng
unacceptable	không thể chấp nhận, không tán thành, không tha thứ, không chịu nổi
unacceptable acceptable	không thể chấp nhận
uncertain	thiếu chính xác, không chắc chắn
uncertain certain	không chắc chắn, khôn biết rõ ràng
uncertainty	tính không chắc chắn
uncle	chú, bác
uncomfortable	bất tiện, khó chịu, không thoải mái
uncomfortable comfortable	bất tiện, không tiện lợi
unconscious	bất tỉnh, không có ý thức, không biết rõ
unconscious conscious	bất tỉnh, ngất đi
uncontrolled	không bị điều khiển, không bị kiểm tra, không bị hạn
uncontrolled control	không bị kiềm chế, không bị kiểm tra
uncover	khám phá
under	dưới, ở dưới, ở phía dưới, về phía dưới
undergo	trải qua
undergraduate	đại học
underground	dưới mặt đất, ngầm dưới đất, ngầm
underlying	cơ bản
undermine	phá hoại
underneath	dưới, bên dưới
understand	hiểu, nhận thức
understanding	trí tuệ, sự hiểu biết
undertake	thực hiện
underwater	ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	tháo, gỡ, xóa bỏ, hủy bỏ
undo do	tháo, gỡ, xóa, hủy bỏ
unemployed	thất nghiệp, không dùng, không sử dụng được
unemployed employ	không dùng, thất nghiệp
unemployment	sự thất nghiệp, nạn thất nghiệp
unemployment employment	sự thất nghiệp, tình trạng thất nghiệp
unexpected	bất ngờ, gây ngạc nhiên
unexpected, unexpectedly	bất ngờ, đột ngột, gây ngạc nhiên
unexpectedly	bất ngờ, gây ngạc nhiên
unfair	gian lận, không công bằng, bất lợi
unfair, unfairly fair	không đúng, không công bằng, gian lận
unfairly	gian lận, không công bằng, bất lợi
unfold	mở ra
unfortunate	không may, rủi ro, bất hạnh
unfortunately	một cách đáng tiếc, một cách không may
unfriendly	không thân thiện, không có thiện cảm
unfriendly friendly	đối địch, không thân thiện
unhappiness	nỗi buồn, sự bất hạnh
unhappiness happiness	sự buồn, nỗi buồn
unhappy	buồn rầu, khốn khổ
unhappy happy	buồn rầu, khổ sở
uniform	đồng phục, đều, giống nhau, đồng dạng
unimportant	khônh quan trọng, không trọng đại
unimportant important	không quan trọng
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
unit	liên kết, hợp nhất, hợp lại, kết thân
unite	thống nhất
united	liên minh, đoàn kết, chung, thống nhất
unity	thống nhất
universal	phổ cập
universe	vũ trụ
university	trường đại học
unkind	độc ác, tàn nhẫn
unkind kind	không tử tế, không tốt
unknown	không biết
unknown know	không biết, không được nhận ra
unless	trừ phi, trừ khi, nếu không
unlike	khác, không giống
unlike like	không giống, khác
unlikely	không thể xảy ra, không chắc xảy ra
unlikely likely	không có thể xảy ra, không chắc chắn, không có thực
unload	cất gánh nặng, dỡ hàng
unload load	tháo, dỡ
unlucky	không gặp may, bất hạnh
unlucky lucky	không gặp may, không may mắn
unnecessary	không cần thiết, không mong muốn
unnecessary necessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
unpleasant pleasant	không dễ chịu, khó chịu
unprecedented	chưa từng có
unreasonable	vô lý
unreasonable reasonable	vô lý, vượt quá giới hạn của cái hợp lý
unsteady	không chắc, không ổn định
unsteady steady	không đúng mực, không vững, không chắc
unsuccessful	không thành công, thất bại
unsuccessful successful	không thành công, không thành đạt
untidy	không gọn gàng, không ngăn nắp, lộn xộn
untidy tidy	không gọn gàng, không ngăn nắp, lộn xộn
until	trước khi, cho đến khi
unusual	hiếm, khác thường, đáng chú ý
unusual, unusually usual	hiếm, khác thường
unusually	cực kỳ, khác thường
unwilling	không sẵn lòng, miễn cưỡng
unwilling, unwillingly willing	không muốn, không có ý định
unwillingly	không sẵn lòng, miễn cưỡng
up	ở trên, lên trên, lên
update	cập nhật
upon	trên, ở trên
upper	cao hơn
upset	làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upside down	lộn ngược
upstairs	ở tên gác, cư ngụ ở tầng gác, tầng trên, gác
upward	lên, hướng lên, đi lên
urban	thành phố, khu vực
urge	thúc, giục, giục giã, sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
us	chúng tôi, chúng ta, tôi và anh
use	sử dụng, dùng, sự dùng, sự sử dụng
used	đã dùng, đã sử dụng
used to modal	đã quen dùng
used to sth/to doing sth	sử dụng cái gì, sử dụng để làm cái gì
useful	hữu ích, giúp ích
useless	vô ích, vô dụng
user	người dùng, người sử dụng
usual	thông thường, thường dùng
usually	thường thường
utility	tiện ích
utilize	sử dụng
vacation	kỳ nghỉ hè, kỳ nghỉ lễ, ngày nghỉ, ngày lễ
vaccine	vắc-xin
vacuum	khoảng chân không
valid	chắc chắn, hiệu quả, hợp lý
validity	hiệu lực
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong, xe tải
vanish	biến mất
variable	biến
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
vast	rộng lớn, mênh mông
vegetable	rau, thực vật
vehicle	xe cộ
vendor	nhà cung cấp
venture	sự án kinh doanh, công việc kinh doanh, liều, mạo hiểm, cả gan
verbal	lời nói
verdict	bản án
version	bản dịch sang một ngôn ngữ khác
versus	đấu với
vertical	thẳng đứng, đứng
very	rất, lắm
vessel	tàu
veteran	cựu chiến binh
via	qua, theo đường
victim	nạn nhân
victory	chiến thắng
video	video
view	sự nhìn, tầm nhìn, nhìn thấy, xem, quan sát
viewer	người xem
village	làng, xã
violate	xâm phạm
violation	sự vi phạm
violence	sự ác liệt, sự dữ dội, bạo lực
violent	mãnh liệt, mạnh mẽ, hung dữ
violently	mãnh liệt, dữ dội
virtual	ảo
virtually	thực sự, hầu như, gần như
virtue	Đức hạnh
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visit	đi thăm hỏi, đến chơi, tham quan, sự đi thăm, sự thăm viếng
visitor	khách, du khách
visual	trực quan
vital	sự sống, cần cho sự sống
vitamin	vitamin
vocabulary	từ vựng
vocal	tiếng hát
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
voluntary	tình nguyện
volunteer	tình nguyện
vote	sự bỏ phiếu, sự bầu cử, bỏ phiếu, bầu cử
voter	cử tri
voting	bầu cử
vs	vs
vulnerable	dễ bị tổn thương
wage	tiền lương, tiền công
wagon	toa xe
waist	eo, chỗ thắt lưng
wait	chờ đợi
waiter, waitress	người hầu bàn, người đợi, người trông chờ
wake	thức dậy, tỉnh thức
walk	đi, đi bộ, sự đi bộ, sự đi dạo
walking	sự đi, sự đi bộ
wall	tường, vách
wallet	cái ví
wander	đi lang thang, sự đi lang thang
want	muốn
war	chiến tranh
warehouse	kho
warm	ấm, ấm áp, làm cho nóng, hâm nóng
warmth	trạng thái ấm, sự ấm áp, hơi ấm
warn	báo cho biết, cảnh báo
warning	sự báo trước, lời cảnh báo
warrior	chiến binh
wash	rửa, giặt
washing	sự tắm rửa, sự giặt
waste	lãng phí, uổng phí, vùng hoang vu, sa mạc, bỏ hoang
watch	nhìn, theo dõi, quan sát, sự canh gác, sự canh phòng
water	nước
wave	sóng, gợn nước, gợn sóng, uốn thành sóng
way	đường, đường đi
we	chúng tôi, chúng ta
weak	yếu, yếu ớt
weaken	làm suy yếu
weakness	tình trạng yếu đuối, yếu ớt
wealth	sự giàu có, sự giàu sang
wealthy	giàu có
weapon	vũ khí
wear	mặc, mang, đeo
weather	thời tiết
weave	dệt
web	mạng, lưới
wedding	lễ cưới, hôn lễ
wednesday	thứ 4
weed	cỏ dại
week	tuần, tuần lễ
weekend	cuối tuần
weekly	mỗi tuần một lần, hàng tuần
weigh	cân, cân nặng
weight	trọng lượng
weird	kỳ dị
welcome	chào mừng, hoan nghênh
welfare	phúc lợi
well	tốt, giỏi, ôi, may quá!
well known	nổi tiếng, được nhiều người biết đến
well-being	hạnh phúc
well-known	nổi tiếng
west	phía tây, theo phía tây, về hướng tây
western	về phía tây, của phía tây
wet	ướt, ẩm ướt
whale	cá voi
what	gì, thế nào
whatever	bất cứ thứ gì, bất kể thứ gì
wheat	lúa mì
wheel	bánh xe
wheelchair	xe lăn
when	khi, lúc, vào lúc nào
whenever	bất cứ lúc nào, lúc nào
where	đâu, ở đâu, nơi mà
whereas	nhưng ngược lại, trong khi
wherever	ở bất cứ nơi nào, ở bất cứ nơi đâu
whether	có..không, có... chăng, không biết có.. không
which	nào, bất cứ.. nào, ấy, đó
while	trong lúc, trong khi, lúc, chốc, lát
whilst	trong lúc, trong khi
whip	roi da
whisper	nói thì thầm, xì xào, tiếng nói thì thầm, tiếng xì xào
whistle	sự huýt sáo, sự thổi còi, huýt sáo, thổi còi
white	trắng, màu trắng
who	ai, người nào, kẻ nào, người như thế nàow
whoever	bất cứ ai
whole	bình an vô sự, không suy suyển, không hư hỏng, toàn bộ, tất cả, toàn thể
whom	ai, người nào, người mà
whose	của ai
why	tại sao, vì sao
wide	rộng, rộng lớn
widely	nhiều, xa, rộng rãi
widespread	phổ biến rộng rãi
widow	người đàn bà góa
width	tính chất rộng, bề rộng
wife	vợ
wild	dại, hoang
wilderness	hoang dã
wildlife	động vật hoang dã
wildly	dại, hoang
will	sẽ
will modal	sẽ, ý chí, ý định
willing	bằng lòng, vui lòng, muốn
willingly	sẵn lòng, tự nguyện
willingness	sự bằng lòng, sự vui lòng
win	chiếm, đọat, thu được
wind	gió
wind sth up	lên dây, quấn, giải quyết
window	cửa sổ
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
winter	mùa đông
wipe	lau
wire	dây
wisdom	sự khôn ngoan
wise	khôn ngoan, sáng suốt, thông thái
wish	ước, mong muốn, sự mong ước, lòng mong muốn
with	với, cùng
withdraw	rút, rút khỏi, rút lui
withdrawal	thu hồi
within	trong vong thời gian, trong khoảng thời gian
without	không, không có
witness	sự làm chứng, bằng chứng, chứng kiến, làm chứng
wolf	chó sói
woman	đàn bà, phụ nữ
wonder	ngạc nhiên, lấy làm lạ, kinh ngạc
wonderful	phi thường, khác thường, kỳ diệu, tuyệt vời
wood	gỗ
wooden	làm bằng gỗ
wool	len
word	từ
work	làm việc, sự làm việc
worker	người lao động
working	sự làm, sự làm việc
workout	tập thể dục
workplace	nơi làm việc
works	công trinh
workshop	xưởng
world	thế giới
worldwide	trên toàn thế giới
worried	bồn chồn, lo nghĩ, tỏ ra lo lắng
worry	lo lắng, suy nghĩ, sự lo lắng, suy nghĩ
worrying	gấy lo lắng, gây lo nghĩ
worship	sự tôn thờ, sự tôn sùng, thờ, thờ phụng, tôn thờ
worth	đáng giá, có giá trị
would	sẽ
wound	vết thương, thương tích, làm bị thường, gây thương tích
wounded	bị thương
wow	wow
wrap	gói, bọc, quấn
wrapping	vật bao bọc, vật quấn quanh
wrist	cổ tay
write	viết
writer	người viết
writing	sự viết
written	viết ra, được thảo ra
wrong	sai
wrongly	một cách bất công, không đúng
yard	lat, thước anh
yawn	há miệng, cử chỉ ngáp
yeah	yeah
yeah exclamation	vâng, ừ
year	năm
yell	hét lên
yellow	vàng, màu vàng
yes	vâng, phải, có chứ
yesterday	hôm qua
yet	còn, hãy cỏn, còn nữa, như mà, xong, tuy thế, tuy nhiên
yield	năng suất
you	bạn
young	trẻ, trẻ tuổi, thanh niên
youngster	thiếu niên
your	của bạn
yours	cái của bạn
yours sincerely	bạn chân thành của anh, chị..
yourself	tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
youth	tuổi trẻ, tuổi xuân, tuổi thanh niên, tuổi niên thiếu
zero number	số không
zone	khu vực, miền, vùng
